Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;namen_neu;Q_Nummer;datum_neu;datum_alt;spalte
589421;Slevogt, Max [Künstler:in];Pfälzer Landschaft im Neuschnee;1909 [Datierung];"bez: Slevogt 09 (unten rechts); Gemälde mit altem Goldrahmen; „1909 kommt Slevogt in die Pfalz zurück, um sich erneut dieser Landschaft zuzuwenden. Er geht allerdings nicht auf das am Abhang gelegene, von Wäldern und Weinbergen eingeschlossene Neukastel, sondern nach Godramstein. Das Dorf liegt in der offenen Ebene, in einiger Entfernung von der Stelle, wo der Höhenzug des Hardt durch die gerundeten Gipfel des Wasgenwaldes abgelöst wird … Wenig später, als der erste Schnee gefallen ist, richtet Slevogt den Blick nach Nordwesten gegen das Gebirge. Dichte Wolken ziehen über den verschneiten Bergwald, der aus dem gleichen grauweißen Stoff wie sie zu bestehen scheint. Die oberen vier Fünftel der Komposition sind davon erfüllt. Nur unten in der Ebene, an den Häusern und den brachliegenden Häusern davor, erstreckt sich ein schmaler Streifen in warmem Braun. Er hält die lichte Schnee-Wolken-Einheit, die sich zu entziehen droht, fest, bewahrt vor dem Eindruck froststarrender Kälte und bewirkt die Vorstellung feuchtkalten Tauwetters.“ (Imiela, Hans-Jürgen).„Zunächst gibt es nur dieses eine Winterbild, weil Slevogt den Winter immer in Berlin verbrachte, erst mit dem Erwerb von Neukastel als neuen Traumwohnsitz und bedingt durch die französische Blockade verbrachte er jetzt auch Wintermonate in der Pfalz“ (UW).";Max Slevogt;Q703356;1909;0;1
584364;Breitner, George Hendrik [Künstler:in];Afbraak / Demolition / Oude buurt te Amsterdam;;"Signiert; Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";George Hendrik Breitner;;0;0;1
306029;Zügel, Heinrich von [Künstler:in];Kühe in der Tränke;1896 [Datierung];eine braune und eine gescheckte Kuh stehen in der Tränke, Wiesen und Bäume umgeben die Wasserstelle, bez. H. Zügel 96;Heinrich von Zügel;Q602549;1896;0;1
405720;Liebermann, Max [Künstler:in];Enkelin mit Kinderfrau im Garten;1921 [Datierung];bez. unten links: M. Liebermann;Max Liebermann;Q158062;1921;0;1
579010;Hamilton, Johann Georg de [Künstler:in];Hetzjagd auf ein Wildschwein;1729 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;1729;0;1
586521;Zoffany, Johann [Künstler:in];Portret oude Dame / Porträt einer alten Dame;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Johann Zoffany;;0;0;1
527253;Ruths, Valentin [Künstler:in];Alter Eichenwald mit Beerensammlerin;;signiert;Valentin Ruths;;0;0;1
592010;Klimt, Gustav [Künstler:in];Bauerngarten mit Kruzifix (Kruzifixus im Walde);1912 [Datierung];"nach Weidinger, Nr. 210: Bauerngarten mit Kruzifix, Datierung: 1912, Format: 110 x 110 cm, Technik: Öl auf Leinwand, Provenienz: August und Serena Lederer, Wien; Erich Lederer, Genf;Ausstellungen: Prag (Rudolphinum, Deutsch-Böhmischer Künstlerbund) 1914, Nr. 24 („Kreuz in einem Bauerngarten""); Zürich (Kunsthaus) 1918, Nr. 57 („Kruzifix“); London (Dorland Hall) 1934, Nr. 49; Wien (Secession) 1936, 3 od. 7 (Leihgabe Sammlung Lederer); Bern (Kunsthalle) 1937, Nr. 9 („Der Bildstock“); Paris (Jeu de Paume des Tuileries) 1937, Nr. 368; Wien (Ausstellungshaus Friedrichstraße, ehemalige Secession) 1943, Nr. 7; Wien (Österreichische Galerie Belvedere) 2002/03, Nr.42 (Abb. in Farbe S.114)";Gustav Klimt;Q34661;1912;0;1
584730;David, Jacques-Louis [Künstler:in];Damesportret (schets) / Porträt einer Dame (Skizze);;;Jacques-Louis David;Q83155;0;0;1
584384;Canaletto, Antonio [Künstler:in];La Place St. Marguerite / Campo S. Marin;;"Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Antonio Canaletto;;0;0;1
594416;Raeburn, Henry (1756) [Künstler:in];Brustbild des Generals Sir David Baird;;;Henry Raeburn;Q561916;0;0;1
580686;Robert (?) [Künstler:in];Fiesta;;;Robert  (?);Q266309;0;0;1
313629;Hoppner, John (Umkreis) [Künstler:in];Damenbildnis in Landschaft;1800 (um) [Datierung];Dreiviertelfigur nach rechts, Kopf dem Beschauer zugewandt. Großer grauer Hut auf gepuderter Perücke, schwarze Bluse, weißer Rock. Goldrahmen;John Umkreis Hoppner;;0;1800;1
414719;Cézanne, Paul [Künstler:in];Apfelstillleben / Pommes sur un table;1880/81 [Datierung];Rewald Nr. 479;Paul Cézanne;Q35548;1880;0;1
582655;Renoir, Auguste [Künstler:in];Frau vor dem Spiegel (Femme se regardant dans un miroir);;bezeichnet;Auguste Renoir;Q12142552;0;0;1
448981;Kallmorgen, Friedrich [Künstler:in];Hafenbild;;"Quelle: PL - AP Wrocław, RW, I/9971; I/16886.";Friedrich Kallmorgen;Q1460165;0;0;1
579037;Schrotzberg, Franz [Künstler:in];Felix Schwarzenberg;1850 (vor) [Datierung];Literatur: Hrady a Zámky, Petr Pavelec (ed.) (ISBN 978-80-87890-05-9), mit Abb.;Franz Schrotzberg;;1850 vor;0;1
534373;Härtel, Albert [Künstler:in];Spaziergang am Walde auch Spaziergang im Tiergarten;1869 [Datierung];Quelle: PL - AP Wrocław, RW, I/16886.;Albert Härtel;;1869;0;1
307980;Bassano, Jacopo [Künstler:in];Krankenheilung Christi;;"Halle mit Säulen und architektonischem Hintergrund. Links vorn zwei Kranke, in der Mitte ein alter Mann, dem sich Christus zuneigt. Reiche figürliche Staffage. Rechts Treppe zu einem tempelartigen Gebäude. Goldrahmen. Ehemals Brüssel, Sammlung Amédé Prouvost. ""... wichtiges, ganz eigenhändiges Werk der Spätzeit..."".";Jacopo Bassano;;0;0;1
585698;Berchem, Nicolaes van [Künstler:in];Schäferinnen (?);1620-1683 (?) [Datierung];"voll signiert, vorn links 8 Schafe, rechts 2 Schäferinnen, eine davon sitzend, vorn rechts liegender Baumstamm, links 2 hohe Bäumein der Suchliste der belgischen Regierung: „Berchem, Nicolaes van (1649 – 1672), Paysage avec bergères et moutons. (Repr. N°3), Toile, 52 x 69, Signé, Coll. Mme. T. Sichel, Brüssel 457 – 08 – 7""";Nicolaes van Berchem;;1620;0;1
585637;Steen, Jan (1626) [Künstler:in];De Redorijkers (Rederijkers) / Die vier Rhetoriker;;"auf der Rückseite Aufkleber mit Inventarnummer und Siegel; signiert";Jan Steen;Q205863;0;0;1
594420;Rotari, Pietro Antonio (Conte) [Künstler:in];Ein paar Gegenstücke;;"mit Brustbildern junger Mädchen; verso ggfs. alte Schlossinventarnummern und Besitzvermerke: Königlich-sächsische Secondogenitur oder Königliche Garde-Meubles-Verwaltung";Pietro Antonio Conte Rotari;;0;0;1
475813;Liebermann, Max [Künstler:in];Dr. Max Linde (Porträtstudie);1897 [Datierung];"Kopfstudie, eine von drei Vorstudien zum bekannten Portätgemälde im Museum Behnhaus Drägerhaus, Lübeck, bez. o. r.: M Liebermann 97; verso Aufkleber Cassirer mit Nr. 14863";Max Liebermann;Q158062;1897;0;1
584379;Cabezalero, Juan Martín [Künstler:in];Ferdinand III voor Sevilla / Ferdinand III. von (vor) Sevilla;;"Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Juan Martín Cabezalero;Q8480623;0;0;1
583687;Unverdroß, R.O. [Künstler:in];Herbstwald;;bezeichnet;RO Unverdroß;;0;0;1
578980;Hamilton, Johann Georg de [Künstler:in];Jagd auf einen wilden Stier;1707 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1707;0;1
308740;Ryckaert, David [Künstler:in];Bauerninterieur;;An einem gedeckten Tisch sitzt hintenübergelehnt links ein alter Bauer in roter Jacke, der mit beiden Händen ein Bierglas hochhält. Rechts sitzt eine junge Frau in gelbem Rock und weißer Jacke, auf deren Knie sich ein stehendes, blaugekleidetes Mädchen stützt, das in der Hand einen Apfel hält. Hinter der Frau ein zweites Kind. In der Mitte ein sich umarmendes Paar. Rechts ein stehender Bauer mit einer Forke in der Hand. Dahinter ein zweiter Bauer mit nach oben gestreckten Armen. Im Hintergrund links am Herd drei Männer. Rechts Ausblick auf den Bauernhof. Goldener Rahmen. Aus ehemaligem kaiserlichem Besitz.;David Ryckaert;Q20205301;0;0;1
577689;Pechstein, Max [Künstler:in];Waldlandschaft;1919 [Datierung];"Bez. rechts unten H M P 1919 (zusammen); Kiefernwald und Birken im Gegenspiel kräftig zuckender und ruhig grader Linien, denen sich aufglühende und lichtzarte Farben charakterisierend verbinden: Rotbraun mit Grün, Gelborange, Hellgrün und Weiss. Im Waldboden Karmin mit Gelb und Grün, im Vordergrund ein breiter Weg in Gelboranger Färbung. Grüne Grasbüschel. Viel Braun an und zwischen Stämmen und Kronen, das eine räumlich schwingende atmosphärische Auflockerung in das Bild trägt;vgl. Soika-WVZ zu Nr. 1919/31 („Sonnenflecken im Wald“): „Das Gemälde ähnelt der Bildbeschreibung von ‚Waldlandschaft‘ im Sammlungsinventar Littmann.“ (mit Abb.)";Max Pechstein;Q162105;1919;0;1
444931;Nay, Ernst Wilhelm [Künstler:in];Gladiolen;1933 [Datierung];;Ernst Wilhelm Nay;Q644630;1933;0;1
406122;Weisgerber, Albert [Künstler:in];Mädchen im spanischen Kostüm;1908 [Datierung];"sign. Weisgerber 08; die Braut des Künstlers im hellen Gewand mit schwarzem Spitzenschleier mit Rosen geschmückt";Albert Weisgerber;Q451003;1908;0;1
533391;Savery, Roelant [Künstler:in];Landschaft;;ggf. Arbeit von Adriaen van Stalbemtim Vordergrund Bäume davor sitzende Dame im Gespräch mit einem Wanderer, im Hintergrund zwei Häuser mit kleinen Figuren;Roelant Savery;;0;0;1
594405;Lach, Andreas [Künstler:in];Blumenstilleben;1841 [Datierung];bezeichnet links unten: A. Lach pinx 1841;Andreas Lach;Q499160;1841;0;1
305907;Daumier, Honoré [Künstler:in];Deux Têtes/ Köpfe/ Bauernköpfe;;rechts unten H.D.;Honoré Daumier;Q187506;0;0;1
583654;Sandrock, L. [Künstler:in];Schiffer auf einem Schlepper beim Mittagsmahl;;bezeichnet;L Sandrock;;0;0;1
595952;Canaletto, Antonio [Künstler:in];Venetie / Venedig;;"Blick auf den Canale grande mit der Rialtobrücke. Auf dem Wasser Gondeln und Fischerkähne, Figurenstaffage; auf der Rückseite Aufkleber mit Inventarnummer und Siegel /";Antonio Canaletto;;0;0;1
534398;Brandes, Heinrich [Künstler:in];Erdbeerenstilleben;;Quelle: PL - AP Wrocław, RW, I/16886.;Heinrich Brandes;Q1596815;0;0;1
583690;Wauerhold, ? [Künstler:in];Segelschiffe im Morgenrot;;bezeichnet;Wauerhold (?);;0;0;1
308702;Kalf, Willem [Künstler:in];Stilleben;;"Auf einer steinernen Tischplatte, von der rechts ein buntfarbiger Teppich herunterhängt, steht in einer Silberplatte ein Nautilusbecher in reicher Goldmontierung. Rechts an dessen Fuß eine chinesische Porzellanschale mit drei Oliven. Dahinter ein halbgefüllter Römer. Links eine Orange und eine Uhr mit blauem Band. Dunkler Hintergrund. Goldrahmen. Ehemaliger kaiserlicher Besitz. Wahrscheinlich im 17. Jahrhundert aus dem Besitz der Oranier nach Berlin gelangt. Ausstellung ""Het Stilleven"". Amsterdam 1933. Kat.-Nr. 145";Willem Kalf;Q28144;0;0;1
589417;Slevogt, Max [Künstler:in];Trabrennen - Auf der Tribüne;1907 [Datierung];"bez: Slevogt 07 (unten rechts);„Bei seinen Bildern vom Berlin Weißenseer Trabrennen misst sich Slevogt mit den französischen Impressio-nisten: >Obwohl sich viele Blätter, was die Flüchtigkeit der Bewegungen und das Verfließen von Pferd, Mensch und Wagen, kurzum die Reduktion oder Abstraktion der Linien betrifft, durchaus vergleichen lassen, so ist doch ein Unterschied zu Manets Arbeiten hervorzuheben. Denn während bei Manet die Pferde in fast beängstigender Weise auf den Betrachter zu galoppieren, wählt Slevogt den Betrachtungsstandpunkt gerne unter den Zuschauern des Wettkampfes, was den Bildbetrachter unmittelbar zwischen diese versetzt< (Kirchberger, Nico: Max Slevogt. Eine Retrospektive zum 150. Geburtstag, Hannover 2018, S. 108. Bei diesem verschollenen Gemälde wird das auf die Spitze getrieben: Die Zuschauer nehmen die Hälfte des Bildraumes ein, das Rennen wird zur Nebensache“. (UW)";Max Slevogt;Q703356;1907;0;1
580664;Vlaminck, Maurice de [Künstler:in];Landschaft (?);;;Maurice de Vlaminck;;0;0;1
308660;;Stilleben;;"Auf einem Tisch mit blauer Decke eine silberne Schüssel, auf der Rosen liegen. Dahinter ein Römer und daneben Orange, Kirschen, ein Brot und eine geschälte Zitrone. Dunkelgrüner Hintergrund. Bezeichnet mit dem Monogramm A.v.B. rechts an der Tischkante. Goldener Rahmen. Ausgestellt in der Ausstellung ""Het Stilleven"" in Amsterdam, 1933, Kat.-Nr. 15. Aus der Sammlung P. v. Semeonoff in Petersburg (Kat.-Nr. 38), mit der es in die Eremitage in Petersburg gelangte.";;Q85221364;0;0;1
406119;Purrmann, Hans [Künstler:in];Anemonen in brauner Vase;;sign. H. Purrmann;Hans Purrmann;;0;0;1
578968;Stampart, Franz [Künstler:in];Portrait der Fürstin Eleonore Amalie zu Schwarzenberg;1731 [Datierung];Literatur: Hradní Muzeum Český Krumlov (ISBN 978-80-85033-29-8), mit Abb.;Franz Stampart;;1731;0;1
297580;Leibl, Wilhelm Maria Hubertus [Künstler:in];Bildnis Kreistierarzt Reindl;1890 [Datierung];"rechts unten W. Leibl 90; Waldmann: Leibl 1930 Nr. 197";Wilhelm Maria Hubertus Leibl;;1890;0;1
583648;Poniecki, F. [Künstler:in];Hasenjagd;;bezeichnet;F Poniecki;;0;0;1
584926;Luttichuijs, Isaack [Künstler:in];Echtgenorte van Danckert Danckertzoon (Mevr. Donkertz.) / Gattin von D. Danckertzoon;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Isaack Luttichuijs;;0;0;1
469974;Rode, Bernhard [Künstler:in];Rastende Wanderer;;Unter hohen, Bäumen bestandenen Felsen zwei Männer, eine Frau und zwei Kinder, links Ausblick auf ein weites Tal, von Bergen begrenzt;Bernhard Rode;Q465314;0;0;1
585604;Rotari, Pietro Antonio (Conte) [Künstler:in];De Slaapster (Slapend meisje) / Jüngling, ein schlafendes Mädchen mit Ähre kitzelnd;;Auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Pietro Antonio Conte Rotari;;0;0;1
577684;Masereel, Frans [Künstler:in];Seemann mit Frau (Le bone pipe);1928 [Datierung];"bez. unten rechts: F. M. 1928; in einer markant mauernden Malweise baut sich in rhythmischer Fleckenschichtung das Bild auf, erreicht aber in der Abstufung seiner Töne von der Fläche her zugleich eine massige Raumwirkung. Die Farbtönungen sind alle zu Grau gebrochen, sodass eine große Vereinheitlichung erreicht ist. An grüner Wand links, vor der ein Stuhl steht, lehnt ein Schiffer mit blauem Sweater und grauen Hosen, die Pfeife rauchend, neben ihm ein Schiffermädchen. Im Hintergrund schließt der mächtige Schiffsleib eines Dampfers auf Dock ab, über dem breite Schiffschlote sichtbar werden. Etwas stockendes, das vor allem auch in der suggestiv vermittelten Atmosphäre mit ihrer drückenden Feuchtigkeit beruht, die darin gleichsam aufgehende Gebundenheit der Menschen, macht das Bild zu einer überzeugenden Interpretation gestaltend erlebter Arbeitswirklichkeit.";Frans Masereel;;1928;0;1
584396;Codde, Pieter Jacobsz. [Künstler:in];Interieur;;"Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Pieter Jacobsz Codde;;0;0;1
591977;Guardi, Francesco de' (Art des) [Künstler:in];Ansicht auf Santa Maria de Salute in Venedig;;Karteikarte Nr. 120: Art des Francesco Guardi , Öl auf Leinwand, Ansicht auf Santa Maria de Salute in Venedig;Francesco de Guardi (?);;0;0;1
579050;Schönberger, Lorenz Adolf [Künstler:in];Blick auf das Schloss Hluboká von Zámostí;1800 [Datierung];Literatur: Hradní Muzeum Český Krumlov (ISBN 978-80-85033-29-8), mit Abb.;Lorenz Adolf Schönberger;Q19569538;1800;0;1
580248;Pechstein, Max [Künstler:in];Boote am Meer;;Quelle: D - LAB, B Rep 025-08, Nr. 11959, 11960, 11961, 11962, 11963/61;Max Pechstein;Q162105;0;0;1
586486;"Tintoretto, Jacopo [Künstler:in]
Tintoretto, Jacopo (Follower of (Jacopo Robusti Tintoretto)) [Künstler:in]
Tintoretto, Domenico [Künstler:in]";Sacra Famiglia / Heilige Familie;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;;;0;0;1
578960;Hamilton, Philipp Ferdinand de [Künstler:in];Der Jäger fängt einen weissen Hasen und Vögel;1700/1730 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Philipp Ferdinand de Hamilton;Q3379112;1700;0;1
577692;Vlaminck, Maurice de [Künstler:in];Straße in einer Kleinstadt;;Signiert;Maurice de Vlaminck;;0;0;1
583656;Schmidt, ? [Künstler:in];Schlittenfahrt;;unbezeichnet;Schmidt (?);Q18868;0;0;1
448973;Courbet, Gustave [Künstler:in];Flusslandschaft mit Felsen und Raubvogel;;"Quelle: PL - AP Wrocław, RW, I/9971; I/16886.";Gustave Courbet;Q34618;0;0;1
592014;Klimt, Gustav [Künstler:in];Goldener Apfelbaum (Apfelbaum mit goldenen Äpfel);1903 [Datierung];"nach Weidinger, Nr. 164: Goldener Apfelbaum, Datierung: 1903, Format: 100 x 100 cm, Technik: Öl auf Leinwand, Provenienz: August und Serena Lederer, Wien; Erich Lederer, Genf;Ausstellungen: Wien (5ecession, XVIII. Ausst.) 1903/04, Nr.15; Dresden (Große Kunstausst.) 1904, Nr. 245; Berlin (Deut. Künstlerbund II. Ausst.) 1905, Nr. 109; Wien (Galerie Miethke) 1907 (ohne Kat.); Dresden (Galerie Arnold) 1907; Wien (Kunstschau) 1908, Nr. 14; Venedig (IX. Esposizione Internazionale) 1910, Sala 10, Nr. 5 (»il Melo»?)); München (XI. Internationale Kunstausst.) 1913, Nr.1601; Wien (Ausstellungshaus Friedrichstraße, ehemalige Secession) 1943, Nr. 25";Gustav Klimt;Q34661;1903;0;1
271846;Slevogt, Max [Künstler:in];Laubwald / Waldweg;1906 [Datierung];Signatur und Datierung: u. r. Slevogt 1906Literatur: Roland, Max Slevogt. Pfälzische Landschaften, 1991, S. 56, 57;Max Slevogt;Q703356;1906;0;1
302418;Courbet, Gustave [Künstler:in];Abendlandschaft;1855 [Datierung];links unten signiert und datiert;Gustave Courbet;Q34618;1855;0;1
302425;Mense, Carl [Künstler:in];Stillleben mit Brot / mit Blumentopf;1925 (um) [Datierung];signiert rechts unten: C. Mense;Carl Mense;;0;1925;1
583613;Jakobsen, Sophus [Künstler:in];Flußlandschaft im Mondenschein;;unbezeichnet;Sophus Jakobsen;;0;0;1
584385;Canaletto, Antonio [Künstler:in];L'ile St. Georges;;"Campo S. Polo; S. Giorgio Maggiore: vom Bacino di S. Marco, Blick nach Osten.Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Antonio Canaletto;;0;0;1
583622;Liesegang, Helmuth [Künstler:in];Ansicht von Nieuport;;bezeichnet;Helmuth Liesegang;Q17712883;0;0;1
582674;Liebermann, Max [Künstler:in];Waldspaziergang im Harz;1899 [Datierung];Die vorliegende Abbildung wurde erst nach Drucklegung des ersten Bandes bekannt. Die Vorlage dazu stammt aus der Korrespondenz, die im Jahre 1909 zwischen Eduard Fuchs, dem das Bild gehörte, und Gustav Pauli geführt wurde, der Material für seine Monographie über Liebermann zusammentrug. [Archiv der Hamburger Kunsthalle] Pauli hatte offenbar daran gedacht, das Gemälde in sein Buch aufzunehmen, auch schon einen Andruck fertigen lassen, muß dann aber Abstand von seinem Vorhaben genommen haben. Nach Angaben von Eduard Fuchs zeigt das Bild die Familie Liebermann bei einem Waldspaziergang.;Max Liebermann;Q158062;1899;0;1
592002;Klimt, Gustav [Künstler:in];Aus dem Reich des Todes / Zug der Toten;1903 [Datierung];"nach Weidinger, Nr. 168: Aus dem Reich des Todes, 1903, Format 48 x 63 cm, Technik: Öl auf Leinwand, Provenienz: Fritz Waerndorfer, Wien; Galerie Guido Arnot, Wien; August und Serena Lederer, Wien; Erich Lederer, Genf;Ausstellungen: Wien (Secession, XVIII. Ausst.) 1903104, Nr. 27; München Sezession, X. Ausst./ Deutscher Künstlerbund, I. Ausst.), 1904, Nr. 75";Gustav Klimt;Q34661;1903;0;1
